dateid,day,month,year,dayofweek,dayofyear
1,19,6,2014,4,170
2,27,12,2016,2,362
3,1,5,2015,5,121
4,20,6,2017,2,171
5,14,3,2006,2,73
6,14,8,2014,4,226
7,31,12,2018,1,365
8,8,11,2007,4,312
9,24,11,2015,2,328
10,7,4,2014,1,97
11,19,9,2016,1,263
12,9,5,2014,5,129
13,13,9,2011,2,256
14,4,7,2012,3,186
15,20,4,2019,6,110
16,13,11,2015,5,317
17,16,6,2016,4,168
18,13,2,2015,5,44
19,23,7,2018,1,204
20,11,7,2014,5,192
21,13,1,2017,5,13
22,2,3,2019,6,61
23,12,5,2016,4,133
24,22,5,2008,4,143
25,3,8,2018,5,215
26,8,1,2015,4,8
27,17,12,2012,1,352
28,2,2,2018,5,33
29,15,4,2016,5,106
30,18,2,2013,1,49
31,6,5,2010,4,126
32,8,6,2018,5,159
33,2,9,2016,5,246
34,3,12,2013,2,337
35,16,5,2013,4,136
36,20,8,2013,2,232
37,5,2,2014,3,36
38,15,8,2014,5,227
39,27,1,2010,3,27
40,27,11,2018,2,331
41,30,6,2010,3,181
42,26,7,2016,2,208
43,27,5,2017,6,147
44,5,11,2014,3,309
45,9,1,2009,5,9
46,16,10,2007,2,289
47,12,2,2015,4,43
48,19,1,2011,3,19
49,27,8,2015,4,239
50,,,2002,,
51,11,2,2016,4,42
52,24,6,2013,1,175
53,3,2,2019,0,34
54,19,7,2017,3,200
55,25,3,2018,0,84
56,28,3,2012,3,88
57,14,7,2017,5,195
58,27,5,2016,5,148
59,15,7,2009,3,196
60,17,2,2010,3,48
61,7,11,2014,5,311
62,13,6,2012,3,165
63,8,2,2018,4,39
64,28,8,2015,5,240
65,10,12,2017,0,344
66,24,5,2018,4,144
67,7,1,2013,1,7
68,20,8,2015,4,232
69,19,8,2013,1,231
70,1,4,2018,0,91
71,12,8,2016,5,225
72,23,5,2011,1,143
73,3,1,2014,5,3
74,13,8,2015,4,225
75,22,2,2019,5,53
76,10,8,2018,5,222
77,14,3,2012,3,74
78,20,11,2013,3,324
79,26,7,2006,3,207
80,28,4,2016,4,119
81,4,7,2014,5,185
82,29,8,2014,5,241
83,14,8,2018,2,226
84,30,10,2012,2,304
85,30,11,2018,5,334
86,3,9,2009,4,246
87,25,12,2015,5,359
88,31,7,2008,4,213
89,22,4,2016,5,113
90,19,6,2016,0,171
91,8,6,2017,4,159
92,5,9,2017,2,248
93,25,3,2016,5,85
94,16,11,2018,5,320
95,26,10,2017,4,299
96,24,6,2009,3,175
97,10,6,2015,3,161
98,22,7,2016,5,204
99,5,8,2009,3,217
100,5,9,2016,1,249
101,30,1,2014,4,30
102,19,12,2018,3,353
103,28,10,2010,4,301
104,27,1,2017,5,27
105,14,5,2016,6,135
106,5,7,2018,4,186
107,5,2,2019,2,36
108,30,3,2018,5,89
109,11,10,2013,5,284
110,1,11,2009,0,305
111,29,6,2015,1,180
112,1,11,2013,5,305
113,11,2,2010,4,42
114,5,11,2018,1,309
115,12,1,2018,5,12
116,27,10,2014,1,300
117,26,1,2015,1,26
118,6,12,2015,0,340
119,27,7,2015,1,208
120,25,6,2013,2,176
121,11,7,2016,1,193
122,13,7,2010,2,194
123,6,11,2016,0,311
124,14,10,2018,0,287
125,25,6,2018,1,176
126,17,6,2016,5,169
127,30,7,2015,4,211
128,10,5,2006,3,130
129,31,8,2017,4,243
130,12,7,2007,4,193
131,11,11,2017,6,315
132,20,7,2017,4,201
133,16,4,2018,1,106
134,14,5,2009,4,134
135,6,3,2019,3,65
136,19,6,2012,2,171
137,,,2012,,
138,19,3,2019,2,78
139,21,12,2016,3,356
140,6,8,2010,5,218
141,17,10,2018,3,290
142,10,7,2016,0,192
143,29,5,2014,4,149
144,15,5,2015,5,135
145,6,2,2014,4,37
146,12,2,2013,2,43
147,11,1,2018,4,11
148,10,1,2013,4,10
149,2,3,2009,1,61
150,,,2006,,
151,27,10,2015,2,300
152,16,2,2016,2,47
153,4,4,2018,3,94
154,23,1,2009,5,23
155,6,11,2017,1,310
156,26,10,2011,3,299
157,7,6,2018,4,158
158,6,8,2015,4,218
159,12,11,2007,1,316
160,13,10,2006,5,286
161,31,7,2014,4,212
162,11,9,2014,4,254
163,4,6,2014,3,155
164,1,5,2003,4,121
165,28,7,2016,4,210
166,13,11,2009,5,317
167,22,2,2013,5,53
168,15,9,2014,1,258
169,29,11,2013,5,333
170,31,10,2013,4,304
171,24,5,2017,3,144
172,21,9,2017,4,264
173,31,3,2014,1,90
174,22,8,2018,3,234
175,1,9,2016,4,245
176,22,12,2015,2,356
177,7,6,2012,4,159
178,17,8,2010,2,229
179,26,4,2012,4,117
180,2,8,2017,3,214
181,11,1,2016,1,11
182,2,12,2010,4,336
183,11,1,2017,3,11
184,29,3,2018,4,88
185,11,2,2015,3,42
186,29,6,2007,5,180
187,25,8,2018,6,237
188,10,12,2009,4,344
189,19,2,2017,0,50
190,24,9,2017,0,267
191,6,5,2011,5,126
192,6,4,2007,5,96
193,17,7,2014,4,198
194,17,6,2018,0,168
195,27,9,2016,2,271
196,26,3,2015,4,85
197,7,10,2015,3,280
198,9,7,2016,6,191
199,17,6,2015,3,168
200,22,6,2018,5,173
201,23,1,2013,3,23
202,29,4,2018,0,119
203,9,6,2016,4,161
204,6,6,2018,3,157
205,26,3,2019,2,85
206,23,3,2016,3,83
207,21,10,2009,3,294
208,14,11,2008,5,319
209,21,4,2011,4,111
210,26,4,2018,4,116
211,24,1,2014,5,24
212,20,5,2011,5,140
213,13,5,2008,2,134
214,1,7,2014,2,182
215,2,8,2018,4,214
216,10,10,2016,1,284
217,16,11,2010,2,320
218,5,4,2010,1,95
219,15,10,2016,6,289
220,3,12,2017,0,337
221,9,3,2016,3,69
222,8,2,2019,5,39
223,4,3,2016,5,64
224,2,2,2007,5,33
225,18,11,2015,3,322
226,30,1,2013,3,30
227,29,8,2011,1,241
228,20,1,2011,4,20
229,1,5,2019,3,121
230,12,11,2009,4,316
231,30,8,2018,4,242
232,17,2,2016,3,48
233,30,7,2012,1,212
234,18,1,2017,3,18
235,3,3,2017,5,62
236,25,9,2012,2,269
237,24,1,2019,4,24
238,3,2,2017,5,34
239,7,5,2017,0,127
240,19,6,2015,5,170
241,17,12,2015,4,351
242,7,9,2012,5,251
243,,,1984,,
244,10,3,2015,2,69
245,19,1,2019,6,19
246,11,12,2016,0,346
247,17,12,2017,0,351
248,3,10,2011,1,276
249,9,2,2018,5,40
250,7,2,2014,5,38
251,3,2,2016,3,34
252,23,11,2018,5,327
253,31,1,2019,4,31
254,2,1,2017,1,2
255,19,5,2014,1,139
256,27,1,2018,6,27
257,6,7,2016,3,188
258,5,9,2014,5,248
259,12,7,2018,4,193
260,7,3,2016,1,67
261,3,12,2016,6,338
262,20,9,2012,4,264
263,27,9,2013,5,270
264,2,1,2018,2,2
265,23,4,2015,4,113
266,28,9,2012,5,272
267,,,1985,,
268,11,3,2015,3,70
269,10,10,2009,6,283
270,14,12,2018,5,348
271,28,8,2007,2,240
272,22,11,2011,2,326
273,12,11,2018,1,316
274,11,12,2017,1,345
275,22,9,2016,4,266
276,15,7,2018,0,196
277,18,11,2018,0,322
278,8,2,2017,3,39
279,,,1981,,
280,13,2,2009,5,44
281,4,4,2016,1,95
282,7,5,2016,6,128
283,18,6,2007,1,169
284,8,5,2014,4,128
285,11,11,2013,1,315
286,15,4,2010,4,105
287,22,1,2019,2,22
288,22,2,2012,3,53
289,25,6,2017,0,176
290,24,2,2014,1,55
291,4,9,2008,4,248
292,6,7,2018,5,187
293,31,7,2018,2,212
294,23,9,2017,6,266
295,16,11,2009,1,320
296,4,12,2017,1,338
297,3,4,2013,3,93
298,25,4,2016,1,116
299,2,2,2012,4,33
300,5,12,2012,3,340
301,4,10,2010,1,277
302,12,5,2017,5,132
303,29,10,2017,0,302
304,27,5,2013,1,147
305,31,10,2012,3,305
306,16,4,2013,2,106
307,27,3,2007,2,86
308,1,10,2016,6,275
309,13,6,2014,5,164
310,5,6,2015,5,156
311,5,9,2018,3,248
312,27,3,2019,3,86
313,10,11,2014,1,314
314,11,4,2018,3,101
315,2,11,2011,3,306
316,26,2,2016,5,57
317,13,11,2014,4,317
318,19,11,2018,1,323
319,14,3,2007,3,73
320,9,12,2016,5,344
321,21,6,2010,1,172
322,10,10,2018,3,283
323,3,4,2016,0,94
324,7,3,2018,3,66
325,19,5,2017,5,139
326,6,5,2015,3,126
327,28,1,2010,4,28
328,18,8,2015,2,230
329,20,8,2018,1,232
330,24,8,2017,4,236
331,3,3,2014,1,62
332,6,8,2018,1,218
333,11,11,2014,2,315
334,7,11,2016,1,312
335,2,1,2019,3,2
336,31,7,2012,2,213
337,26,6,2013,3,177
338,15,8,2013,4,227
339,17,1,2018,3,17
340,7,2,2017,2,38
341,28,8,2012,2,241
342,1,5,2006,1,121
343,28,5,2015,4,148
344,22,2,2018,4,53
345,31,12,2014,3,365
346,2,1,2015,5,2
347,6,7,2006,4,187
348,5,1,2012,4,5
349,15,8,2012,3,228
350,4,3,2013,1,63
351,9,5,2011,1,129
352,1,7,2008,2,183
353,28,9,2016,3,272
354,19,5,2018,6,139
355,5,3,2009,4,64
356,7,8,2007,2,219
357,22,4,2014,2,112
358,28,10,2017,6,301
359,4,8,2011,4,216
360,15,10,2017,0,288
361,12,2,2018,1,43
362,26,5,2015,2,146
363,25,11,2018,0,329
364,5,1,2015,1,5
365,5,2,2015,4,36
366,2,12,2016,5,337
367,4,3,2014,2,63
368,23,5,2017,2,143
369,28,2,2014,5,59
370,27,7,2016,3,209
371,28,7,2014,1,209
372,1,9,2017,5,244
373,8,10,2013,2,281
374,7,4,2017,5,97
375,28,1,2017,6,28
376,7,6,2011,2,158
377,25,2,2014,2,56
378,28,2,2013,4,59
379,7,8,2016,0,220
380,30,7,2016,6,212
381,15,11,2006,3,319
382,6,5,2013,1,126
383,14,8,2017,1,226
384,6,5,2009,3,126
385,21,9,2016,3,265
386,12,4,2018,4,102
387,22,9,2014,1,265
388,28,11,2013,4,332
389,10,1,2018,3,10
390,1,12,2012,6,336
391,3,11,2015,2,307
392,25,5,2010,2,145
393,22,6,2016,3,174
394,21,2,2018,3,52
395,19,2,2013,2,50
396,14,3,2019,4,73
397,,,1982,,
398,23,2,2016,2,54
399,12,1,2016,2,12
400,12,6,2018,2,163
401,20,9,2018,4,263
402,26,8,2016,5,239
403,10,4,2018,2,100
404,5,10,2006,4,278
405,4,3,2019,1,63
406,21,7,2017,5,202
407,6,3,2012,2,66
408,6,8,2017,0,218
409,10,9,2013,2,253
410,22,4,2019,1,112
411,21,10,2015,3,294
412,23,9,2014,2,266
413,5,1,2019,6,5
414,9,10,2014,4,282
415,21,7,2015,2,202
416,16,12,2017,6,350
417,9,11,2012,5,314
418,28,9,2011,3,271
419,1,8,2015,6,213
420,22,6,2015,1,173
421,28,11,2016,1,333
422,4,1,2018,4,4
423,9,3,2019,6,68
424,16,1,2017,1,16
425,23,8,2012,4,236
426,19,7,2011,2,200
427,11,4,2017,2,101
428,23,9,2008,2,267
429,10,11,2018,6,314
430,1,10,2014,3,274
431,15,3,2011,2,74
432,23,12,2017,6,357
433,22,3,2018,4,81
434,29,5,2016,0,150
435,14,8,2015,5,226
436,20,11,2015,5,324
437,21,10,2014,2,294
438,5,8,2015,3,217
439,25,3,2015,3,84
440,3,7,2017,1,184
441,23,2,2015,1,54
442,8,11,2017,3,312
443,22,6,2012,5,174
444,21,10,2017,6,294
445,14,4,2015,2,104
446,26,11,2014,3,330
447,20,7,2011,3,201
448,7,7,2018,6,188
449,1,11,2015,0,305
450,25,6,2015,4,176
451,29,7,2017,6,210
452,9,7,2014,3,190
453,29,10,2013,2,302
454,5,6,2008,4,157
455,14,10,2009,3,287
456,7,11,2008,5,312
457,15,3,2017,3,74
458,21,1,2017,6,21
459,21,5,2018,1,141
460,17,2,2015,2,48
461,28,4,2015,2,118
462,18,4,2011,1,108
463,,,2017,,
464,16,9,2015,3,259
465,20,10,2009,2,293
466,17,7,2008,4,199
467,24,11,2006,5,328
468,10,12,2013,2,344
469,2,12,2011,5,336
470,19,11,2008,3,324
471,14,2,2013,4,45
472,1,6,2018,5,152
473,10,12,2014,3,344
948,,,2004,,
474,28,5,2013,2,148
475,10,4,2012,2,101
476,26,5,2017,5,146
477,23,3,2015,1,82
478,29,5,2017,1,149
479,15,9,2015,2,258
480,28,7,2008,1,210
481,28,5,2008,3,149
482,13,5,2009,3,133
483,4,3,2018,0,63
484,28,7,2018,6,209
485,2,7,2014,3,183
486,10,1,2019,4,10
487,4,12,2009,5,338
488,4,9,2015,5,247
489,21,4,2015,2,111
490,11,3,2010,4,70
491,22,7,2017,6,203
492,7,8,2014,4,219
493,15,2,2016,1,46
494,7,6,2013,5,158
495,25,11,2016,5,330
496,17,4,2009,5,107
497,8,7,2018,0,189
498,13,10,2014,1,286
499,,,1986,,
500,30,9,2017,6,273
501,19,10,2011,3,292
502,19,3,2018,1,78
503,6,11,2013,3,310
504,30,10,2015,5,303
505,9,10,2015,5,282
506,28,12,2017,4,362
507,23,5,2018,3,143
508,30,3,2012,5,90
509,8,8,2013,4,220
510,7,1,2009,3,7
511,30,10,2018,2,303
512,18,3,2009,3,77
513,5,11,2016,6,310
514,22,3,2017,3,81
515,16,11,2012,5,321
516,24,4,2018,2,114
517,7,10,2017,6,280
518,30,11,2011,3,334
519,16,12,2018,0,350
520,7,3,2013,4,66
521,10,5,2017,3,130
522,13,4,2018,5,103
523,23,9,2010,4,266
524,17,8,2011,3,229
525,21,7,2018,6,202
526,4,9,2012,2,248
527,12,6,2016,0,164
528,29,1,2017,0,29
529,14,2,2012,2,45
530,12,11,2012,1,317
531,9,6,2017,5,160
532,9,6,2014,1,160
533,15,5,2013,3,135
534,23,12,2015,3,357
535,21,6,2017,3,172
536,14,5,2017,0,134
537,1,11,2004,1,306
538,14,11,2013,4,318
539,23,9,2018,0,266
540,9,9,2015,3,252
541,29,7,2018,0,210
542,31,10,2016,1,305
543,18,7,2011,1,199
544,12,8,2009,3,224
545,24,9,2013,2,267
546,,,1993,,
547,1,7,2017,6,182
548,5,9,2009,6,248
549,26,11,2018,1,330
550,6,3,2009,5,65
551,22,8,2016,1,235
552,27,5,2009,3,147
553,15,4,2014,2,105
554,2,12,2008,2,337
555,20,7,2010,2,201
556,30,5,2017,2,150
557,10,12,2008,3,345
558,6,4,2017,4,96
559,17,11,2018,6,321
560,1,11,2008,6,306
561,8,1,2010,5,8
562,16,2,2010,2,47
563,27,7,2011,3,208
564,29,9,2014,1,272
565,22,10,2012,1,296
566,1,10,2018,1,274
567,4,3,2009,3,63
568,9,6,2015,2,160
569,29,12,2014,1,363
570,26,2,2017,0,57
571,22,11,2018,4,326
572,26,8,2017,6,238
573,1,1,2019,2,1
574,27,7,2012,5,209
575,19,8,2010,4,231
576,5,12,2014,5,339
577,23,4,2010,5,113
578,28,7,2009,2,209
579,11,10,2016,2,285
580,10,2,2019,0,41
581,,,1987,,
582,26,5,2018,6,146
583,7,9,2011,3,250
584,25,3,2017,6,84
585,29,5,2018,2,149
586,28,5,2012,1,149
587,5,4,2017,3,95
588,9,7,2009,4,190
589,2,4,2017,0,92
590,3,10,2016,1,277
591,26,9,2018,3,269
592,11,3,2019,1,70
593,10,6,2014,2,161
594,7,10,2018,0,280
595,20,3,2019,3,79
596,1,5,2016,0,122
597,3,2,2012,5,34
598,1,2,2019,5,32
599,28,4,2010,3,118
600,20,5,2014,2,140
601,27,6,2008,5,179
602,9,1,2014,4,9
603,,,2005,,
604,22,2,2016,1,53
605,23,4,2016,6,114
606,30,10,2016,0,304
607,17,8,2018,5,229
608,31,10,2008,5,305
609,1,12,2018,6,335
610,22,1,2017,0,22
611,14,2,2017,2,45
612,16,9,2008,2,260
613,4,6,2009,4,155
614,3,6,2015,3,154
615,13,3,2014,4,72
616,27,9,2017,3,270
617,4,5,2015,1,124
618,1,6,2016,3,153
619,14,9,2006,4,257
620,28,5,2016,6,149
621,27,11,2017,1,331
622,22,10,2015,4,295
623,23,11,2016,3,328
624,7,6,2014,6,158
625,1,6,2004,2,153
626,18,7,2017,2,199
627,1,2,2018,4,32
628,21,4,2016,4,112
629,14,10,2014,2,287
630,31,1,2012,2,31
631,1,7,2015,3,182
632,23,4,2018,1,113
633,7,2,2006,2,38
634,27,2,2009,5,58
635,17,3,2010,3,76
636,9,4,2008,3,100
637,5,8,2017,6,217
638,19,8,2011,5,231
639,31,3,2016,4,91
640,27,9,2010,1,270
641,12,2,2010,5,43
642,18,3,2017,6,77
643,14,5,2012,1,135
644,22,3,2007,4,81
645,21,10,2008,2,295
646,10,7,2017,1,191
647,7,7,2016,4,189
648,29,11,2017,3,333
649,29,4,2016,5,120
650,19,1,2016,2,19
651,18,10,2012,4,292
652,1,4,2016,5,92
653,10,3,2018,6,69
654,30,6,2011,4,181
655,8,10,2014,3,281
656,3,12,2018,1,337
657,13,9,2017,3,256
658,16,12,2015,3,350
659,24,9,2010,5,267
660,6,5,2014,2,126
661,10,8,2017,4,222
662,3,7,2007,2,184
663,20,2,2018,2,51
664,6,10,2015,2,279
665,21,6,2012,4,173
666,11,1,2019,5,11
667,7,8,2017,1,219
668,27,2,2012,1,58
669,,,2016,,
670,11,12,2013,3,345
671,20,3,2007,2,79
672,15,5,2017,1,135
673,24,9,2012,1,268
674,28,10,2011,5,301
675,4,7,2016,1,186
676,13,1,2014,1,13
677,9,3,2015,1,68
678,27,11,2015,5,331
679,13,3,2015,5,72
680,25,8,2015,2,237
681,9,5,2017,2,129
682,25,9,2017,1,268
683,1,2,2013,5,32
684,17,9,2017,0,260
685,14,5,2015,4,134
686,12,1,2007,5,12
687,27,3,2017,1,86
688,26,9,2012,3,270
689,28,11,2017,2,332
690,27,8,2017,0,239
691,13,10,2017,5,286
692,18,4,2014,5,108
693,3,7,2014,4,184
694,20,7,2007,5,201
695,24,4,2013,3,114
696,22,10,2009,4,295
697,25,10,2016,2,299
698,8,4,2015,3,98
699,3,12,2014,3,337
700,9,3,2017,4,68
701,10,2,2017,5,41
702,4,6,2015,4,155
703,10,1,2014,5,10
704,22,4,2017,6,112
705,1,8,2016,1,214
706,15,3,2015,0,74
707,13,1,2012,5,13
708,22,11,2006,3,326
709,21,1,2016,4,21
710,15,9,2017,5,258
711,2,11,2016,3,307
712,27,8,2009,4,239
713,27,4,2009,1,117
714,9,5,2018,3,129
715,5,3,2015,4,64
716,1,4,2014,2,91
717,4,8,2017,5,216
718,8,4,2016,5,99
719,19,9,2013,4,262
720,1,4,2019,1,91
721,6,9,2018,4,249
722,29,1,2015,4,29
723,28,10,2013,1,301
724,29,11,2011,2,333
725,17,4,2012,2,108
726,4,7,2013,4,185
727,5,8,2016,5,218
728,31,1,2011,1,31
729,1,11,2016,2,306
730,7,1,2015,3,7
731,29,8,2012,3,242
732,6,9,2016,2,250
733,5,6,2018,2,156
734,7,9,2016,3,251
735,11,11,2016,5,316
736,11,5,2015,1,131
737,19,11,2012,1,324
738,4,2,2015,3,35
739,26,3,2010,5,85
740,23,10,2018,2,296
741,2,11,2017,4,306
742,18,11,2010,4,322
743,16,10,2014,4,289
744,21,1,2018,0,21
745,6,3,2017,1,65
746,24,8,2018,5,236
747,27,2,2018,2,58
748,18,3,2014,2,77
749,29,1,2009,4,29
750,6,8,2009,4,218
751,27,10,2005,4,300
752,4,9,2017,1,247
753,14,9,2017,4,257
754,6,12,2013,5,340
755,6,6,2017,2,157
756,16,3,2015,1,75
757,25,1,2011,2,25
758,25,4,2018,3,115
759,14,5,2011,6,134
760,30,9,2009,3,273
761,2,7,2013,2,183
762,13,5,2018,0,133
763,24,10,2016,1,298
764,12,3,2015,4,71
765,21,3,2008,5,81
766,10,6,2010,4,161
767,,,2021,,
768,15,7,2014,2,196
769,21,11,2011,1,325
770,6,5,2016,5,127
771,20,4,2015,1,110
772,14,12,2015,1,348
773,5,4,2012,4,96
774,8,9,2016,4,252
775,6,2,2018,2,37
776,15,10,2012,1,289
777,7,11,2012,3,312
778,22,9,2010,3,265
779,11,7,2013,4,192
780,4,11,2015,3,308
781,23,11,2010,2,327
782,7,5,2018,1,127
783,18,12,2018,2,352
784,4,2,2019,1,35
785,26,8,2010,4,238
786,9,4,2015,4,99
787,8,3,2018,4,67
788,,,2019,,
789,22,10,2017,0,295
790,21,11,2017,2,325
791,5,6,2017,1,156
792,22,9,2018,6,265
793,22,12,2014,1,356
794,24,5,2012,4,145
795,18,9,2013,3,261
796,18,3,2013,1,77
797,31,1,2014,5,31
798,8,4,2019,1,98
799,21,4,2019,0,111
800,25,5,2016,3,146
801,5,4,2011,2,95
802,12,7,2010,1,193
803,4,6,2017,0,155
804,12,10,2015,1,285
805,1,12,2014,1,335
806,2,2,2017,4,33
807,12,4,2017,3,102
808,19,9,2011,1,262
809,27,10,2011,4,300
810,,,1992,,
811,30,10,2014,4,303
812,14,3,2016,1,74
813,30,11,2010,2,334
814,18,5,2016,3,139
815,16,7,2015,4,197
816,19,11,2017,0,323
817,31,8,2016,3,244
818,17,10,2016,1,291
819,6,4,2018,5,96
820,23,9,2015,3,266
821,10,9,2018,1,253
822,19,2,2016,5,50
823,1,11,2000,3,306
824,11,2,2009,3,42
825,14,7,2016,4,196
826,1,3,2012,4,61
827,1,11,1999,1,305
828,15,6,2017,4,166
829,11,8,2017,5,223
830,13,2,2008,3,44
831,1,10,2015,4,274
832,27,2,2007,2,58
833,2,11,2012,5,307
834,24,12,2016,6,359
835,19,4,2013,5,109
836,6,12,2012,4,341
837,20,10,2011,4,293
838,25,7,2012,3,207
839,22,8,2017,2,234
840,7,4,2016,4,98
841,19,10,2016,3,293
842,5,11,2015,4,309
843,9,8,2018,4,221
844,16,1,2014,4,16
845,18,11,2013,1,322
846,25,2,2010,4,56
847,26,8,2008,2,239
848,21,6,2018,4,172
849,13,9,2018,4,256
850,17,3,2009,2,76
851,3,4,2007,2,93
852,,,1990,,
853,19,6,2018,2,170
854,11,5,2016,3,132
855,7,4,2018,6,97
856,7,4,2015,2,97
857,2,2,2011,3,33
858,14,4,2017,5,104
859,17,2,2014,1,48
860,28,6,2012,4,180
861,3,12,2015,4,337
862,8,4,2013,1,98
863,4,6,2018,1,155
864,19,2,2010,5,50
865,19,2,2015,4,50
866,23,6,2015,2,174
867,17,3,2011,4,76
868,6,9,2013,5,249
869,9,12,2009,3,343
870,12,10,2017,4,285
871,13,8,2013,2,225
872,6,7,2010,2,187
873,14,9,2016,3,258
874,19,7,2010,1,200
875,30,8,2010,1,242
876,16,10,2016,0,290
877,16,2,2011,3,47
878,,,1994,,
879,10,3,2014,1,69
880,27,3,2014,4,86
881,9,4,2018,1,99
882,1,6,2006,4,152
883,19,12,2011,1,353
884,30,1,2015,5,30
885,12,1,2010,2,12
886,5,5,2015,2,125
887,10,6,2017,6,161
888,27,11,2013,3,331
889,5,3,2018,1,64
890,10,1,2011,1,10
891,28,11,2012,3,333
892,15,1,2010,5,15
893,26,6,2018,2,177
894,19,5,2011,4,139
895,15,5,2009,5,135
896,12,12,2016,1,347
897,21,11,2013,4,325
898,7,8,2009,5,219
899,25,10,2018,4,298
900,23,8,2013,5,235
901,10,9,2017,0,253
902,28,6,2018,4,179
903,23,3,2017,4,82
904,17,4,2018,2,107
905,14,12,2011,3,348
906,24,10,2011,1,297
907,27,8,2013,2,239
908,3,8,2010,2,215
909,4,2,2014,2,35
910,30,4,2013,2,120
911,14,2,2014,5,45
912,3,6,2013,1,154
913,25,6,2012,1,177
914,31,12,2016,6,366
915,24,10,2018,3,297
916,2,10,2017,1,275
917,4,1,2017,3,4
918,8,6,2015,1,159
919,12,3,2019,2,71
920,15,8,2016,1,228
921,28,4,2017,5,118
922,13,12,2007,4,347
923,18,7,2014,5,199
924,22,2,2017,3,53
925,28,2,2019,4,59
926,25,7,2014,5,206
927,26,8,2015,3,238
928,14,9,2009,1,257
929,17,8,2015,1,229
930,10,2,2012,5,41
931,16,7,2010,5,197
932,13,5,2013,1,133
933,12,11,2017,0,316
934,26,9,2016,1,270
935,24,4,2016,0,115
936,25,7,2017,2,206
937,4,3,2010,4,63
938,3,5,2016,2,124
939,5,6,2013,3,156
940,17,5,2018,4,137
941,8,5,2018,2,128
942,15,7,2017,6,196
943,1,10,2009,4,274
944,6,10,2014,1,279
945,28,8,2009,5,240
946,13,7,2009,1,194
947,12,7,2017,3,193
949,12,2,2017,0,43
950,30,1,2017,1,30
951,11,3,2016,5,71
952,31,12,2017,0,365
953,10,11,2016,4,315
954,9,8,2016,2,222
955,,,2013,,
956,7,7,2017,5,188
957,9,7,2012,1,191
958,6,11,2009,5,310
959,25,5,2017,4,145
960,21,7,2014,1,202
961,28,2,2011,1,59
962,8,12,2008,1,343
963,28,7,2015,2,209
964,9,1,2013,3,9
965,16,5,2011,1,136
966,11,3,2014,2,70
967,3,2,2015,2,34
968,15,12,2008,1,350
969,2,6,2018,6,153
970,10,2,2014,1,41
971,8,9,2011,4,251
972,11,9,2018,2,254
973,11,3,2017,6,70
974,30,9,2018,0,273
975,13,12,2013,5,347
976,11,3,2013,1,70
977,25,9,2015,5,268
978,14,8,2016,0,227
979,6,3,2015,5,65
980,30,6,2017,5,181
981,7,7,2015,2,188
982,11,10,2012,4,285
983,16,10,2018,2,289
984,25,3,2014,2,84
985,12,5,2008,1,133
986,7,7,2010,3,188
987,5,12,2018,3,339
988,22,8,2013,4,234
989,29,8,2016,1,242
990,19,4,2010,1,109
991,3,3,2016,4,63
992,10,1,2017,2,10
993,17,1,2017,2,17
994,14,6,2010,1,165
995,9,12,2018,0,343
996,28,12,2016,3,363
997,8,11,2013,5,312
998,18,4,2016,1,109
999,21,12,2018,5,355
1000,16,3,2019,6,75
1001,16,12,2011,5,350
1002,16,4,2016,6,107
1003,19,9,2017,2,262
1004,21,3,2013,4,80
1005,15,6,2018,5,166
1006,31,7,2015,5,212
1007,26,11,2010,5,330
1008,25,11,2008,2,330
1009,6,6,2013,4,157
1010,12,10,2016,3,286
1011,17,6,2014,2,168
1012,14,12,2006,4,348
1013,29,12,2016,4,364
1014,16,1,2013,3,16
1015,31,7,2009,5,212
1016,20,2,2015,5,51
1017,15,3,2013,5,74
1018,20,2,2012,1,51
1019,18,8,2014,1,230
1020,22,5,2009,5,142
1021,1,2,2016,1,32
1022,22,4,2018,0,112
1023,3,4,2015,5,93
1024,,,1988,,
1025,17,7,2016,0,199
1026,9,7,2015,4,190
1027,6,11,2015,5,310
1028,9,4,2016,6,100
1029,15,11,2012,4,320
1030,18,4,2019,4,108
1031,21,10,2016,5,295
1032,17,8,2016,3,230
1033,8,2,2012,3,39
1034,20,4,2012,5,111
1035,20,3,2014,4,79
1036,26,7,2012,4,208
1037,30,1,2018,2,30
1038,1,10,2017,0,274
1039,2,4,2018,1,92
1040,22,2,2010,1,53
1041,27,10,2018,6,300
1042,18,5,2018,5,138
1043,5,10,2007,5,278
1044,8,1,2018,1,8
1045,9,12,2013,1,343
1046,17,3,2017,5,76
1047,4,12,2013,3,338
1048,6,10,2016,4,280
1049,11,2,2017,6,42
1050,29,3,2019,5,88
1051,14,3,2017,2,73
1052,21,8,2018,2,233
1053,21,10,2013,1,294
1054,18,6,2014,3,169
1055,23,10,2015,5,296
1056,28,5,2010,5,148
1057,25,2,2011,5,56
1058,23,10,2014,4,296
1059,7,10,2013,1,280
1060,22,4,2011,5,112
1061,15,4,2013,1,105
1062,13,10,2008,1,287
1063,23,12,2016,5,358
1064,7,9,2010,2,250
1065,14,4,2019,0,104
1066,4,6,2016,6,156
1067,30,3,2015,1,89
1068,1,4,2017,6,91
1069,25,5,2012,5,146
1070,30,11,2012,5,335
1071,30,11,2015,1,334
1072,18,6,2013,2,169
1073,28,8,2018,2,240
1074,20,8,2017,0,232
1075,16,10,2015,5,289
