dateid,day,month,year,dayofweek,dayofyear
1686,14,12,2010,2,348
1687,11,9,2007,2,254
1688,28,12,2015,1,362
1689,26,9,2014,5,269
1690,2,6,2015,2,153
1691,21,6,2013,5,172
1692,31,10,2015,6,304
1693,23,1,2015,5,23
1694,24,11,2017,5,328
1695,1,1,2018,1,1
1696,22,12,2009,2,356
1697,9,5,2016,1,130
1698,13,2,2018,2,44
1699,31,7,2017,1,212
1700,15,8,2018,3,227
1701,13,7,2011,3,194
1702,2,2,2019,6,33
1703,17,11,2011,4,321
1704,20,1,2016,3,20
1705,28,11,2018,3,332
1706,15,10,2009,4,288
1707,14,11,2017,2,318
1708,29,1,2019,2,29
1709,13,5,2016,5,134
1710,23,8,2016,2,236
1711,6,8,2013,2,218
1712,31,3,2017,5,90
1713,17,3,2016,4,77
1714,6,7,2017,4,187
1715,4,2,2009,3,35
1716,14,1,2018,0,14
1717,13,5,2015,3,133
1718,11,7,2006,2,192
1719,27,10,2017,5,300
1720,17,6,2009,3,168
1721,24,2,2017,5,55
1722,7,3,2014,5,66
1723,1,6,2015,1,152
1724,27,11,2012,2,332
1725,13,4,2017,4,103
1726,17,3,2019,0,76
1727,17,9,2015,4,260
1728,21,8,2015,5,233
1729,25,11,2014,2,329
1730,9,2,2015,1,40
1731,9,7,2010,5,190
1732,3,11,2018,6,307
1733,6,4,2016,3,97
1734,4,7,2018,3,185
1735,12,8,2014,2,224
1736,2,6,2016,4,154
1737,27,2,2015,5,58
1738,16,10,2012,2,290
1739,24,1,2012,2,24
1740,9,8,2013,5,221
1741,15,3,2012,4,75
1742,23,4,2012,1,114
1743,10,11,2015,2,314
1744,9,10,2018,2,282
1745,3,9,2015,4,246
1746,29,9,2009,2,272
1747,20,11,2018,2,324
1748,12,6,2012,2,164
1749,12,8,2017,6,224
1750,27,6,2013,4,178
1751,30,5,2016,1,151
1752,30,3,2019,6,89
1753,29,7,2013,1,210
1754,31,3,2011,4,90
1755,4,1,2016,1,4
1756,27,2,2019,3,58
1757,11,8,2018,6,223
1758,5,8,2018,0,217
1759,18,7,2016,1,200
1760,5,9,2013,4,248
1761,26,3,2018,1,85
1762,24,8,2015,1,236
1763,2,3,2018,5,61
1764,22,12,2017,5,356
1765,10,4,2014,4,100
1766,15,1,2019,2,15
1767,16,12,2013,1,350
1768,26,8,2013,1,238
1769,2,9,2018,0,245
1770,9,3,2018,5,68
1771,16,2,2017,4,47
1772,22,10,2014,3,295
1773,18,4,2017,2,108
1774,24,7,2012,2,206
1775,29,6,2010,2,180
1776,30,3,2016,3,90
1777,22,3,2011,2,81
1778,12,2,2016,5,43
1779,28,7,2010,3,209
1780,5,4,2013,5,95
1781,29,7,2011,5,210
