developerid,name,city,administrativedivision,country,founding_year
18011,DreamEscape,,,,
18012,Three Frog Studios,,,,
18013,Tiny RTS,,,,
18014,Coffee Stain Studios,Skövde,,Sweden,2010
18015,Kirchesch,,,,
18016,Andrew Oudot,,,,
18017,SugGames,,,,
18018,Raving Bots,,,,
18019,Starni Games,,,,
18020,Ndemic Creations,,,,
18021,Cabbit,,,,
18022,The Pulse,,,,
18023,EA Redwood Shores,,,,
18024,Grumpyface Studios,,,,
18025,Binary Soul,,,,
18026,stardust.ch,,,,
18027,Invoker Studios,,,,
18028,Apocoplay LLC,,,,
18029,Leland Wilson,,,,
18030,Polygon Art,,,,
18031,Only Voxel Games,,,,
18032,VIS-Games,,,,
18033,Onlyjoy`s production,,,,
18034,Trash Format,,,,
18035,Happinet,,,,
18036,"Mindware Co.,Ltd.",,,,
18037,Daedalic,,,,
18038,Banpresto,,,,
18039,Konstructors Entertainment,,,,
18040,Ilusis Interactive Graphics,,,,
18041,Invent4 Entretenimento,,,,
18042,"Lava Flow Games, LLC",,,,
18043,Shrimasis Rout,,,,
18044,Wonderstruck,,,,
18045,Reblexis Studio,,,,
18046,Peter Brinson and Kurosh ValaNejad,,,,
18047,Playa Games GmbH,,,,
18048,Wellore,,,,
18049,The Bearded Ladies,,,,
18050,Dream Works,,,,
18051,"Anvil Drop, LLC",,,,
18052,DreamCatcher Interactive,,,,
18053,CaveDave,,,,
18054,PodShoh Studio,,,,
18055,Excalibur,,,,
18056,Skywind Games,,,,
18057,Tiny Ghost Studios,,,,
18058,Jakub Klementewicz,,,,
18059,Mastfire Studios Pty Ltd,,,,
18060,Aetheric Games,,,,
18061,"Shandong Jerei Digital Technology Co.,LTD.",,,,
18062,Game Scorpion Inc.,,,,
18063,Rifat Erdoğan,,,,
18064,7th Beat Games,,,,
18065,Artur Rezende,,,,
18066,"Nippon Ichi Software, Inc.",,,,
18067,WeMade,Seoul,,South Korea,2000
18068,Anticto,,,,
18069,251 Games,,,,
18070,Eighting,Tokyo,,Japan,1993
18071,Crafts & Meister,Osaka,,Japan,2004
18072,RedNukem,,,,
18073,Miracle Gates Entertainment,,,,
18074,"Suzhou DaYu Network Technology Co., Ltd.",,,,
18075,Juicy Beast Studio,,,,
18076,Leonardo Alexandrino,,,,
18077,toRipota,,,,
18078,BlueRichter,,,,
18079,Clockwork Game Software,,,,
18080,X-Legend,,,,
18081,Die Gute Fabrik,Copenhagen,,Denmark,2006
18082,UFO Crash Games,,,,
18083,PotatoFaceGames,,,,
18084,Brian Cullen,,,,
18085,Starlight Visual,,,,
18086,Otterly Bearable Games,,,,
18087,Myra D'Ann,,,,
18088,Jerzie,,,,
18089,Crankies Smartworks,,,,
18090,Virtual Vitality,,,,
18091,"Within Unlimited, Inc.",,,,
18092,Cool Beans Studios LLC,,,,
18093,Albatross Wirehead,,,,
18094,Freedom Factory,,,,
18095,Notor Games Studio,,,,
18096,Neverworks Games,,,,
18097,SnowFlame,,,,
18098,Absolut Soft LLC,,,,
18099,Gothic Labs,,,,
18100,Robert Cardona,,,,
18101,Confused Studios,,,,
18102,Givit Game Studios (Pty) Ltd,,,,
18103,West Forest Games,,,,
18104,Semaphore,,,,
18105,Fulby Technologies,,,,
18106,StudioQi,,,,
18107,"After Sunset Games, LLC",,,,
18108,Idea Factory,"Shibuya, Tokyo",,Japan,1994
18109,Tamaya Kagiya,,,,
18110,Gus Martin,,,,
18111,utStudio,,,,
18112,Polyarc,,,,
18113,NorthernBytes Software,,,,
18114,Illion Corp,,,,
18115,Emerald Interactive Games,,,,
18116,Keys of Nine Entertainment,,,,
18117,inSPIRE Games,,,,
18118,jumpsuit entertainment UG (haftungsbeschränkt),,,,
18119,Beardserk,,,,
18120,Galactic Gaming Guild,,,,
18121,Rusto,,,,
18122,GOTY LLC,,,,
18123,MoaCube,,,,
18124,Sinkhole Studio,,,,
18125,Damp Gnat,,,,
18126,RadicalHyena,,,,
18127,WindThunder Studio,,,,
18128,University of Cambridge Engineering Department,,,,
18129,Pyramid,,,,
18130,Bottino.Games,,,,
18131,DAX Entertainment,,,,
