developerid,name,city,administrativedivision,country,founding_year
188,Epyx,San Francisco,California,United States,1978
189,ESA (formerly Softmax),Seoul,,South Korea,1994
190,Étranges Libellules,Lyon,,France,1994
191,Eugen Systems,Paris,,France,2000
192,Eurocom,Derby,England,United Kingdom,1988
193,Evolution Studios,Runcorn,England,United Kingdom,1999
194,Examu,Tokyo,,Japan,2007
195,Eyedentity Games,Seoul,,South Korea,2007
196,F4,Paris,,France,2002
197,Facepunch Studios,Walsall,England,United Kingdom,2009
198,FarSight Studios,Big Bear Lake,California,United States,1989
199,FASA Studio,Redmond,Washington,United States,1994
200,Fatshark,Stockholm,,Sweden,2008
201,feelplus,Tokyo,,Japan,1992
202,Felistella,Gifu,,Japan,2010
203,Firaxis Games,Sparks,Maryland,United States,1996
204,Firefly Studios,London,England,United Kingdom,1999
205,Firesprite,Liverpool,England,United Kingdom,2012
206,First Star Software,Chappaqua,New York,United States,1982
207,Flagship Studios,San Francisco,California,United States,2003
208,Flight-Plan,Gifu,,Japan,1989
209,Flying Wild Hog,Warsaw,,Poland,2009
210,Focus Home Interactive,Paris,,France,1996
211,Foundation 9 Entertainment,Emeryville,California,United States,1992
212,Fox Digital Entertainment,Los Angeles,California,United States,2002
213,FoxNext,Los Angeles,California,United States,2017
214,Frictional Games,Helsingborg,,Sweden,2001
215,Frogwares,Kyiv,,Ukraine,2000
216,FromSoftware,Tokyo,,Japan,1986
217,Frontier Developments,Cambridge,England,United Kingdom,1994
218,Frozenbyte,Helsinki,,Finland,2001
219,FTL Games,San Diego,California,United States,1982
220,FUN Labs,Bucharest,,Romania,1999
221,Funcom,Oslo,,Norway,1993
222,FuRyu,Tokyo,,Japan,2007
223,Futuremark,Espoo,,Finland,1997
224,Gaijin Entertainment,Moscow,,Russia,2002
227,GameHouse,Seattle,Washington,United States,1998
228,Gameloft,Paris,,France,1999
229,Ganbarion,Fukuoka,,Japan,1999
230,Gearbox Software,Plano,Texas,United States,1999
231,Geewa,Prague,,Czech Republic,2005
232,Genius Sonority,Tokyo,,Japan,2002
234,Glu Mobile,San Francisco,California,United States,2001
235,Gogii Games,Moncton,New Brunswick,Canada,2006
236,Good-Feel,Kobe,,Japan,2005
237,Granzella,Nonoichi,,Japan,2011
238,Grasshopper Manufacture,"Chiyoda, Tokyo",,Japan,1998
239,Gravity,Seoul,,South Korea,2000
240,Gray Matter Interactive,Los Angeles,California,United States,1993
241,Gremlin Interactive,Sheffield,England,United Kingdom,1984
242,Grezzo,"Shibuya, Tokyo",,Japan,2006
243,Grinding Gear Games,Auckland,,New Zealand,2006
244,Griptonite Games,Kirkland,Washington,United States,1994
245,GSC Game World,Kyiv,,Ukraine,1995
246,Guerrilla Cambridge,Cambridge,England,United Kingdom,1997
247,Guerrilla Games,Amsterdam,,Netherlands,2000
248,Gunfire Games,Austin,Texas,United States,2014
249,GungHo Online Entertainment,"Chiyoda, Tokyo",,Japan,1998
250,Gust,Nagano,,Japan,1993
251,Haemimont Games,Sofia,,Bulgaria,1997
252,HAL Laboratory,"Chiyoda, Tokyo",,Japan,1980
253,Halfbrick,Brisbane,Queensland,Australia,2001
254,Hanaho,Cerritos,California,United States,1992
255,h.a.n.d.,Sapporo,,Japan,1993
256,Hangar 13,Novato,California,United States,2014
257,Harebrained Schemes,Seattle,Washington,United States,2011
258,Harmonix Music Systems,Cambridge,Massachusetts,United States,1995
259,Headstrong Games,London,England,United Kingdom,2000
260,Heartbeat,Tokyo,,Japan,1992
261,HB Studios,Lunenburg,Nova Scotia,Canada,2000
262,HeroCraft,Kaliningrad,,Russia,2001
263,High Impact Games,Burbank,California,United States,2003
264,High Moon Studios,San Diego,California,United States,2005
265,High Voltage Software,Hoffman Estates,Illinois,United States,1993
266,Hoplon Infotainment,Florianópolis,Santa Catarina,Brazil,2004
267,Hothead Games,Vancouver,British Columbia,Canada,2006
268,Housemarque,Helsinki,,Finland,1995
269,Hudson Soft,Tokyo,,Japan,1973
270,Human Entertainment,Tokyo,,Japan,1983
271,Human Head Studios,Madison,Wisconsin,United States,1997
272,Humongous Entertainment,Bothell,Washington,United States,1992
273,Hyperion Entertainment,Brussels,,Belgium,1999
274,Ice-Pick Lodge,Moscow,,Russia,2002
275,id Software,Mesquite,Texas,United States,1991
276,Idea Factory,"Shibuya, Tokyo",,Japan,1994
277,Idol Minds,Westminster,Colorado,United States,1997
