gameid,name,requiredage,price
670,ACE Academy,0,14.99
671,Ace Attorney 6,,
672,Ace Attorney Investigations 2,,
673,Ace Attorney Investigations: Miles Edgeworth,,
674,Ace Combat 04: Shattered Skies,,
675,Ace Combat 2,,
676,Ace Combat 3: Electrosphere,,
677,Ace Combat 5: The Unsung War,,
678,Ace Combat 6: Fires of Liberation,,
679,Ace Combat X: Skies of Deception,,
680,Ace Combat Zero: The Belkan War,,
681,Ace Combat: Assault Horizon,,
682,Ace Combat: Assault Horizon Legacy,,
683,Ace Combat: Joint Assault,,
684,ACE COMBAT™ 7: SKIES UNKNOWN,0,49.99
685,Ace of Protectors,0,1.69
686,Ace of Seafood,0,8.99
687,Ace Of Words,0,3.99
688,Aces High III,0,0
689,Aces of the Galaxy™,0,6.99
690,Aces of the Luftwaffe,0,3.99
691,Aces of the Luftwaffe - Squadron,0,11.9
692,Aces Wild: Manic Brawling Action!,0,6.99
693,AceSpeeder3,0,2.09
694,Achaem,0,6.99
695,AchBall,0,0.79
696,Achievement Clicker,0,0.79
697,Achievement Clicker 2018,0,0.79
698,Achievement Clicker 2019,0,0.79
699,Achievement Collector: Cat,0,20
700,Achievement Collector: Space,0,20
701,Achievement Creator,0,1.99
702,Achievement Idler: Black,0,0.79
703,Achievement Idler: Red,0,0.79
704,Achievement Lurker: Another one bites the dust,0,1.69
705,Achievement Lurker: Ballad of the Shimapan Warrior - King of Panties,0,1.69
706,Achievement Lurker: Dad Jokes,0,1.69
707,Achievement Lurker: Easiest Cosmetic Numbers,0,1.69
708,Achievement Lurker: Respectable Accomplishment,0,1.69
709,Achievement Lurker: We Give Up!,0,1.69
710,Achievement Lurker: You are going to have to work hard for these nuts,0,1.69
711,Achievement Machine,0,2.89
712,Achievements printer part 1,0,0.79
713,Achromatic,0,3.99
714,Achron,0,14.99
715,Achtung die Kugel!,0,0
716,Achtung Panzer: Kharkov 1943,,
717,Achtung! Cthulhu Tactics,0,19.99
718,Acid Flip,0,3.99
719,Acid Nimbus,0,0
720,Acid Spy,0,7.19
721,Acorn Assault: Rodent Revolution,0,7.19
722,Acorns Above: A World Gone Nuts,0,3.99
723,Acro Storm,0,3.99
724,Acropolis: The Archaic Age,0,7.99
725,Across,0,5.59
726,Across Flash,0,1.99
727,Across The Moment,0,1.99
728,Across the Rhine,0,4.99
729,Act of Aggression,,
730,Act of Aggression - Reboot Edition,0,23.99
731,Act of War: Direct Action,0,1.99
732,Act of War: High Treason,0,1.99
733,Action Alien,0,2.79
734,Action Alien: Prelude,0,1.69
735,Action Alien: Tropical Mayhem,0,2.89
736,Action Bass,,
737,Action Force,,
738,Action Henk,0,10.99
739,Action Legion,0,4.79
740,Action Man-Operation Extreme,,
741,Action Rush,0,0.8
